證券代碼,年,月,數值
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2000,03,1.4571
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2000,06,7.4878
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2000,09,0.4082
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2000,12,2.411
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2001,03,-1.3063
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2001,06,2.5223
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2001,09,-1.5936
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2001,12,1.1048
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2002,03,3.3873
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2002,06,2.4717
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2002,09,1.6364
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2002,12,0.4968
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2003,03,2.1216
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2003,06,3.5919
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2003,09,6.8202
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2003,12,4.725
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2004,03,2.2854
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2004,06,3.1368
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2004,09,3.8468
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2004,12,4.1447
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2005,03,4.5106
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2005,06,1.9863
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2005,09,3.1722
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2005,12,2.2395
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2006,03,5.4911
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2006,06,1.0411
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2006,09,0.599
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2006,12,3.4842
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2007,03,1.2082
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2007,06,2.469
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2007,09,2.3247
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2007,12,2.5366
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2008,03,-1.6964
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2008,06,2.4034
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2008,09,-2.0846
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2008,12,-8.4718
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2009,03,-4.4631
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2009,06,-0.7147
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2009,09,1.4138
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2009,12,4.3949
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2010,03,1.9508
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2010,06,3.9281
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2010,09,3.1201
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2010,12,2.1171
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2011,03,-0.947
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2011,06,2.7344
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2011,09,-0.0892
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2011,12,4.5692
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2012,03,3.3961
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2012,06,1.797
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2012,09,0.5791
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2012,12,0.4633
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2013,03,4.0039
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2013,06,1.0755
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2013,09,3.4498
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2013,12,3.5306
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2014,03,-1.3717
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2014,06,5.2675
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2014,09,4.9502
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2014,12,2.0386
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2015,03,3.6511
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2015,06,2.5003
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2015,09,1.6112
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2015,12,0.7402
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2016,03,2.3387
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2016,06,1.2903
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2016,09,2.8673
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2016,12,2.2375
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2017,03,1.9599
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2017,06,2.2582
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2017,09,3.1933
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2017,12,4.5853
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2018,03,3.293
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2018,06,2.1403
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2018,09,2.5187
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2018,12,0.5674
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2019,03,2.5194
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2019,06,3.384
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2019,09,4.7618
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2019,12,2.755
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2020,03,-5.4543
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2020,06,-28.0765
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2020,09,35.1961
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2020,12,4.4101
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2021,03,5.6363
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2021,06,6.4291
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2021,09,3.455
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2021,12,7.4107
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2022,03,-1.0252
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2022,06,0.2797
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2022,09,2.7209
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2022,12,3.3531
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2023,03,2.7956
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2023,06,2.4504
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2023,09,4.3552
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2023,12,3.1928
CA2161 美國實質GDP經濟折年率-2017=100-季(百分比),2024,03,1.6283
