Symbol,Name,Exchange,Industry,SIC Description
DAL,Delta Air Lines Inc,NYSE,Transportation - Airline,"SIC-4512 Air Transportation, Scheduled"
DAR,Darling International Inc,NYSE,Food - Misc & Diversified,SIC-2070 Fats & Oils
DASH,Doordash Inc Cl A,NASDAQ,Internet - Services,"SIC-7389 Services-Business Services, NEC"
DAY,Dayforce Inc,NYSE,Internet - Software,SIC-7372 Services-Prepackaged Software
DBX,Dropbox Inc,NASDAQ,Internet - Services,SIC-7372 Services-Prepackaged Software
DCI,Donaldson Company,NYSE,Pollution Controls,SIC-3564 Industrial & Commercial Fans & Blowers & Air
DD,Dupont Denemours Inc,NYSE,Chemical - Diversified,"SIC-2821 Plastic Materials, Synth Resins & Nonvulcan"
DDOG,Datadog Inc Cl A,NASDAQ,Internet - Software,SIC-7372 Services-Prepackaged Software
DDS,Dillard's,NYSE,Retail - Regional Dept Stores,SIC-5311 Retail-Department Stores
DE,Deere & Company,NYSE,Machinery - Farm,SIC-3523 Farm Machinery & Equipment
DECK,Deckers Outdoor Corp,NYSE,Retail - Apparel & Shoes,SIC-3021 Rubber & Plastics Footwear
DELL,Dell Technologies Inc,NYSE,Computer - Micro,SIC-3571 Electronic Computers
DFS,Discover Financial Services,NYSE,Finance - Consumer Loans,SIC-6141 Personal Credit Institutions
DG,Dollar General Corp,NYSE,Retail - Discount,SIC-5331 Retail-Variety Stores
DGX,Quest Diagnostics Inc,NYSE,Medical - Outpatient & Hm Care,SIC-8071 Services-Medical Laboratories
DHI,D.R. Horton,NYSE,Building - Residential & Comm,SIC-1531 Operative Builders
DHR,Danaher Corp,NYSE,Conglomerates - Div Operations,"SIC-3823 Industrial Instruments For Measurement, Disp"
DINO,HF Sinclair Corp,NYSE,Other Alt Energy,SIC-4610 Pipe Lines (No Natural Gas)
DIS,Walt Disney Company,NYSE,Media Conglomerates,SIC-7990 Services-Miscellaneous Amusement & Recreatio
DJT,Trump Media & Technology Group Corp,NASDAQ,Internet - Software,"SIC-7370 Services-Computer Programming, Data Processi"
DKNG,Draftkings Inc,NASDAQ,Gaming,SIC-7990 Services-Miscellaneous Amusement & Recreatio
DKS,Dick's Sporting Goods Inc,NYSE,Retail - Misc & Diversified,SIC-5940 Retail-Miscellaneous Shopping Goods Stores
DLB,Dolby Laboratories,NYSE,Audio & Video Products,SIC-6794 Patent Owners & Lessors
DLR,Digital Realty Trust,NYSE,REIT - Equity Trust Other,SIC-6798 Real Estate Investment Trusts
DLTR,Dollar Tree Inc,NASDAQ,Retail - Discount,SIC-5331 Retail-Variety Stores
DNB,Dun & Bradstreet Holdings Inc,NYSE,Business Information,"SIC-7320 Services-Consumer Credit Reporting, Collecti"
DOC,Healthpeak Properties Inc,NYSE,REIT - Equity Trust Other,SIC-6798 Real Estate Investment Trusts
DOCS,Doximity Inc Cl A,NYSE,Medical Services,SIC-7371 Services-Computer Programming Services
DOCU,Docusign Inc,NASDAQ,Technology Services,SIC-7372 Services-Prepackaged Software
DOV,Dover Corp,NYSE,Machinery - General Industrial,"SIC-3530 Construction, Mining & Materials Handling Ma"
DOW,Dow Inc,NYSE,Chemical - Diversified,"SIC-2821 Plastic Materials, Synth Resins & Nonvulcan"
DOX,Amdocs Ltd Ord,NASDAQ,IT Services,SIC-7371 Services-Computer Programming Services
DPZ,Domino's Pizza Inc,NYSE,Retail - Restaurants,SIC-5140 Wholesale-Groceries & Related Products
DRI,Darden Restaurants,NYSE,Retail - Restaurants,SIC-5812 Retail-Eating Places
DT,Dynatrace Inc,NYSE,IT Services,SIC-7372 Services-Prepackaged Software
DTE,Dte Energy Company,NYSE,Utility - Electric Power,SIC-4911 Electric Services
DTM,Dt Midstream Inc,NYSE,Oil - US Integrated,SIC-4922 Natural Gas Transmission
DUK,Duke Energy Corp,NYSE,Utility - Electric Power,SIC-4931 Electric & Other Services Combined
DUOL,Duolingo Inc Cl A,NASDAQ,Technology Services,SIC-7372 Services-Prepackaged Software
DV,Doubleverify Holdings Inc,NYSE,Internet - Software,"SIC-7370 Services-Computer Programming, Data Processi"
DVA,Davita Healthcare Partners Inc,NYSE,Medical - Outpatient & Hm Care,"SIC-8090 Services-Misc Health & Allied Services, NEC"
DVN,Devon Energy Corp,NYSE,Oil - US Exploration & Product,SIC-1311 Crude Petroleum & Natural Gas
DXC,Dxc Technology Company,NYSE,IT Services,SIC-7374 Services-Computer Processing & Data Preparat
DXCM,Dexcom Inc,NASDAQ,Medical Instruments,SIC-3841 Surgical & Medical Instruments & Apparatus
EA,Electronic Arts Inc,NASDAQ,Gaming,SIC-7372 Services-Prepackaged Software
EBAY,Ebay Inc,NASDAQ,Internet Commerce,"SIC-7389 Services-Business Services, NEC"
ECL,Ecolab Inc,NYSE,Chemical - Specialty,"SIC-2840 Soap, Detergents, Cleaning Preparations, Per"
ED,Consolidated Edison Company,NYSE,Utility - Electric Power,SIC-4931 Electric & Other Services Combined
EEFT,Euronet Worldwide,NASDAQ,Finance - Misc Services,"SIC-6099 Functions Related To Depository Banking, NEC"
EFX,Equifax Inc,NYSE,Financial Transaction Services,"SIC-1389 Oil & Gas Field Services, NEC"
EG,Everest Re Group,NYSE,Insurance - Multi Line,"SIC-6331 Fire, Marine & Casualty Insurance"
EGP,Eastgroup Properties,NYSE,REIT - Equity Trust Other,SIC-6798 Real Estate Investment Trusts
EHC,Encompass Health Corp,NYSE,Medical - Outpatient & Hm Care,SIC-8060 Services-Hospitals
EIX,Edison International,NYSE,Utility - Electric Power,SIC-4911 Electric Services
EL,Estee Lauder Companies,NYSE,Cosmetics & Toiletries,"SIC-2844 Perfumes, Cosmetics & Other Toilet Preparati"
ELAN,Elanco Animal Health Inc,NYSE,Medical - Outpatient & Hm Care,SIC-2834 Pharmaceutical Preparations
ELF,E.L.F. Beauty Inc,NYSE,Cosmetics & Toiletries,"SIC-2844 Perfumes, Cosmetics & Other Toilet Preparati"
ELS,Equity Lifestyle Properties,NYSE,REIT - Equity Trust Resident,SIC-6798 Real Estate Investment Trusts
ELV,Elevance Health Inc,NYSE,Medical Services,SIC-6324 Hospital & Medical Service Plans
EME,Emcor Group,NYSE,Building - Heavy Construction,SIC-1731 Electrical Work
EMN,Eastman Chemical Company,NYSE,Chemical - Diversified,"SIC-2821 Plastic Materials, Synth Resins & Nonvulcan"
EMR,Emerson Electric Company,NYSE,Machinery - Electrical,SIC-3600 Electronic & Other Electrical Equipment (No
ENOV,Enovis Corp,NYSE,Medical Information Systems,"SIC-3842 Orthopedic, Prosthetic & Surgical Appliances"
ENPH,Enphase Energy Inc,NASDAQ,Solar,SIC-3674 Semiconductors & Related Devices
ENTG,Entegris Inc,NASDAQ,Electrical - Manufacturing,"SIC-3089 Plastics Products, NEC"
EOG,Eog Resources,NYSE,Oil - US Exploration & Product,SIC-1311 Crude Petroleum & Natural Gas
EPAM,Epam Systems Inc,NYSE,IT Services,SIC-7371 Services-Computer Programming Services
EPR,Entertainment Properties Trust,NYSE,REIT - Equity Trust Retail,SIC-6798 Real Estate Investment Trusts
EQH,Axa Equitable Holdings Inc,NYSE,Finance - Misc Services,"SIC-6411 Insurance Agents, Brokers & Service"
EQIX,Equinix Inc,NASDAQ,REIT - Equity Trust Retail,SIC-6798 Real Estate Investment Trusts
EQR,Equity Residential,NYSE,REIT - Equity Trust Resident,SIC-6798 Real Estate Investment Trusts
EQT,Eqt Corp,NYSE,Oil - US Exploration & Product,SIC-1311 Crude Petroleum & Natural Gas
ES,Eversource Energy,NYSE,Utility - Electric Power,SIC-4911 Electric Services
ESAB,Esab Corp,NYSE,Metal Production & Fabrication,"SIC-3569 General Industrial Machinery & Equipment, NE"
ESI,Element Solutions Inc,NYSE,Chemical - Specialty,SIC-1381 Drilling Oil & Gas Wells
ESS,Essex Property Trust,NYSE,REIT - Equity Trust Resident,SIC-6798 Real Estate Investment Trusts
ESTC,Elastic N.V.,NYSE,Technology Services,SIC-7372 Services-Prepackaged Software
ETN,Eaton Corp,NYSE,Machinery - Electrical,SIC-3590 Misc Industrial & Commercial Machinery & Equ
ETR,Entergy Corp,NYSE,Utility - Electric Power,SIC-4911 Electric Services
ETSY,Etsy Inc,NASDAQ,Internet Commerce,"SIC-7389 Services-Business Services, NEC"
EVR,Evercore Partners Inc,NYSE,Finance - Investment Brokers,SIC-6282 Investment Advice
EVRG,Evergy Inc,NASDAQ,Utility - Electric Power,SIC-4931 Electric & Other Services Combined
EW,Edwards Lifesciences Corp,NYSE,Medical Instruments,"SIC-3842 Orthopedic, Prosthetic & Surgical Appliances"
EWBC,East West Bancorp,NASDAQ,Banks - West,SIC-6022 State Commercial Banks
EXAS,Exact Sciences Cor,NASDAQ,Medical - Biomedical,SIC-8071 Services-Medical Laboratories
EXC,Exelon Corp,NASDAQ,Utility - Electric Power,SIC-4931 Electric & Other Services Combined
EXEL,Exelixis Inc,NASDAQ,Medical - Biomedical,"SIC-2836 Biological Products, (No Disgnostic Substanc"
EXP,Eagle Materials Inc,NYSE,Building - CMT & CNT & AG,"SIC-3241 Cement, Hydraulic"
EXPD,Expeditors Intl,NYSE,Transportation - Services,SIC-4731 Arrangement of Transportation of Freight & C
EXPE,Expedia Group Inc,NASDAQ,Internet Commerce,SIC-4700 Transportation Services
EXR,Extra Space Storage Inc,NYSE,REIT - Equity Trust Other,SIC-6798 Real Estate Investment Trusts
F,Ford Motor Company,NYSE,Auto - Domestic,SIC-3711 Motor Vehicles & Passenger Car Bodies
FAF,First American Corp,NYSE,Insurance - Proprty & Casualty,SIC-6361 Title Insurance
FANG,Diamondback Energy,NASDAQ,Oil - US Exploration & Product,SIC-1311 Crude Petroleum & Natural Gas
FAST,Fastenal Company,NASDAQ,Building Prds Retail - Wsale,"SIC-5200 Retail-Building Materials, Hardware, Garden"
FBIN,Fortune Brands Innovations Inc,NYSE,Retail - Home Furniture,"SIC-2430 Millwood, Veneer, Plywood, & Structural Wood"
FCN,Fti Consulting,NYSE,Consulting,SIC-8742 Services-Management Consulting Services
FCNCA,First Citizens Bancs,NASDAQ,Banks - Southeast,SIC-6022 State Commercial Banks
FCX,Freeport-Mcmoran Inc,NYSE,Mining - Non Ferrous,SIC-1000 Metal Mining
FDS,Factset Research Systems Inc,NYSE,Business Information,"SIC-7370 Services-Computer Programming, Data Processi"
FDX,Fedex Corp,NYSE,Transportation - Air Freight,SIC-4513 Air Courier Services
FE,Firstenergy Corp,NYSE,Utility - Electric Power,SIC-4911 Electric Services
FERG,Ferguson Enterprises Inc,NYSE,Machinery - General Industrial,SIC-5070 Wholesale-Hardware & Plumbing & Heating Equi
FFIV,F5 Inc,NASDAQ,Internet - Software,SIC-3576 Computer Communications Equipment
FHB,First Hawaiian Inc,NASDAQ,Banks - West,SIC-6022 State Commercial Banks
FHN,First Horizon Corp,NYSE,Banks - Southwest,SIC-6021 National Commercial Banks
FI,Fiserv Inc,NYSE,Financial Transaction Services,"SIC-7389 Services-Business Services, NEC"
FICO,Fair Isaac and Company,NYSE,IT Services,"SIC-7389 Services-Business Services, NEC"
FIS,Fidelity National Information Services,NYSE,Financial Transaction Services,"SIC-7389 Services-Business Services, NEC"
FITB,Fifth Third Bancorp,NASDAQ,Banks - Major Regional,SIC-6022 State Commercial Banks
FIVE,Five Below Inc,NASDAQ,Retail - Misc & Diversified,SIC-5331 Retail-Variety Stores
FIVN,Five9 Inc,NASDAQ,Internet - Software,SIC-7374 Services-Computer Processing & Data Preparat
FIX,Comfort Systems USA,NYSE,Building Prdcts - Air Heating,SIC-1731 Electrical Work
FLO,Flowers Foods,NYSE,Food - Misc & Diversified,SIC-2000 Food and Kindred Products
FLS,Flowserve Corp,NYSE,Machinery - General Industrial,SIC-3561 Pumps & Pumping Equipment
FMC,FMC Corp,NYSE,Chemical - Diversified,SIC-2800 Chemicals & Allied Products
FNB,F.N.B. Corp,NYSE,Banks - Southeast,SIC-6021 National Commercial Banks
FND,Floor & Decor Holdings Inc,NYSE,Retail - Apparel & Shoes,SIC-5211 Retail-Lumber & Other Building Materials Dea
FNF,Fidelity National Financial,NYSE,Insurance - Proprty & Casualty,SIC-6361 Title Insurance
FOUR,Shift4 Payments Inc,NYSE,Financial Transaction Services,"SIC-7389 Services-Business Services, NEC"
FOX,Fox Corp Cl B,NASDAQ,Broadcast - Radio & TV,SIC-4833 Television Broadcasting Stations
FOXA,Fox Corp Cl A,NASDAQ,Broadcast - Radio & TV,SIC-4833 Television Broadcasting Stations
FR,First Industrial Realty Trust,NYSE,REIT - Equity Trust Other,SIC-6798 Real Estate Investment Trusts
FRPT,Freshpet Inc CS,NASDAQ,Food - Misc & Diversified,SIC-2040 Grain Mill Products
FRT,Federal Realty Investment Trust,NYSE,REIT - Equity Trust Retail,SIC-6798 Real Estate Investment Trusts
FSLR,First Solar Inc,NASDAQ,Solar,SIC-3674 Semiconductors & Related Devices
FTI,Technipfmc Plc,NYSE,Oil - Field Services,SIC-3533 Oil & Gas Field Machinery & Equipment
FTNT,Fortinet Inc,NASDAQ,Internet - Software,"SIC-3577 Computer Peripheral Equipment, NEC"
FTRE,Fortrea Holdings Inc,NASDAQ,Medical - Biomedical,SIC-8071 Services-Medical Laboratories
FTV,Fortive Corp,NYSE,Electronic Test Equipment,"SIC-3823 Industrial Instruments For Measurement, Disp"
FWONA,Liberty Media Formula One Sr A,NASDAQ,Media Conglomerates,
FWONK,Liberty Media Formula One Sr C,NASDAQ,Media Conglomerates,
FYBR,Frontier Communications Parent Inc,NASDAQ,Communication Network Software,SIC-4813 Telephone Communications (No Radiotelephone)
G,Genpact Ltd,NYSE,Outsourcing,SIC-8742 Services-Management Consulting Services
GAP,Gap Inc,NYSE,Retail - Apparel & Shoes,SIC-5651 Retail-Family Clothing Stores
GD,General Dynamics Corp,NYSE,Aerospace - Defense,SIC-3730 Ship & Boat Building & Repairing
GDDY,Godaddy Inc,NYSE,Internet Services - Delivery,SIC-7373 Services-Computer Integrated Systems Design
GE,GE Aerospace,NYSE,Transportation - Airline,SIC-3600 Electronic & Other Electrical Equipment (No
GEHC,GE Healthcare Technologies Inc,NASDAQ,Medical Information Systems,SIC-3844 X-Ray Apparatus & Tubes & Related Irradiatio
GEN,Gen Digital Inc,NASDAQ,Technology Services,SIC-7372 Services-Prepackaged Software
GEV,GE Vernova Inc,NYSE,Other Alt Energy,SIC-3600 Electronic & Other Electrical Equipment (No
GFS,Globalfoundries Inc,NASDAQ,Electronics - Semiconductors,SIC-3674 Semiconductors & Related Devices
GGG,Graco Inc,NYSE,Machinery - General Industrial,SIC-3561 Pumps & Pumping Equipment
GILD,Gilead Sciences Inc,NASDAQ,Medical - Biomedical,"SIC-2836 Biological Products, (No Disgnostic Substanc"
GIS,General Mills,NYSE,Food - Misc & Diversified,SIC-2040 Grain Mill Products
GL,Globe Life Inc,NYSE,Finance - Misc Services,SIC-6311 Life Insurance
GLOB,Globant S.A.,NYSE,Internet Software Services,SIC-7374 Services-Computer Processing & Data Preparat
GLPI,Gaming & Leisure,NASDAQ,REIT - Equity Trust Other,SIC-6798 Real Estate Investment Trusts
GLW,Corning Inc,NYSE,Communications Components,SIC-3357 Drawing & Insulating of Nonferrous Wire
GM,General Motors Company,NYSE,Auto - Domestic,SIC-3711 Motor Vehicles & Passenger Car Bodies
GME,Gamestop Corp,NYSE,Gaming,SIC-5734 Retail-Computer & Computer Software Stores
GMED,Globus Medical Inc,NYSE,Medical Instruments,SIC-3841 Surgical & Medical Instruments & Apparatus
GNRC,Generac Holdings Inc,NYSE,Electrical Power,SIC-3621 Motors & Generators
GNTX,Gentex Corp,NASDAQ,Auto - Truck Original Parts,SIC-3714 Motor Vehicle Parts & Accessories
GO,Grocery Outlet Holding Corp,NASDAQ,Consumer Prdts - Misc Staple,SIC-5411 Retail-Grocery Stores
GOOG,Alphabet Cl C,NASDAQ,Internet - Services,"SIC-7370 Services-Computer Programming, Data Processi"
GOOGL,Alphabet Cl A,NASDAQ,Internet - Services,"SIC-7370 Services-Computer Programming, Data Processi"
GPC,Genuine Parts Company,NYSE,Retail - Wholesale Auto Parts,SIC-5013 Wholesale-Motor Vehicle Supplies & New Parts
GPK,Graphic Packaging Holding Company,NYSE,Containers - Paper Products,SIC-2650 Paperboard Containers & Boxes
GPN,Global Payments Inc,NYSE,Financial Transaction Services,"SIC-7389 Services-Business Services, NEC"
GRAL,Grail Inc,NASDAQ,Medical - Biomedical,SIC-8071 Services-Medical Laboratories
GRMN,Garmin Ltd,NYSE,Electronics Products - Misc,"SIC-3812 Search, Detection, Navigation, Guidance, Aer"
GS,Goldman Sachs Group,NYSE,Finance - Investment Brokers,"SIC-6211 Security Brokers, Dealers & Flotation Compan"
GTES,Gates Industrial Corp Plc,NYSE,Engineering & R&D Services,SIC-3560 General Industrial Machinery & Equipment
GTLB,Gitlab Inc Cl A,NASDAQ,Internet - Software,SIC-7372 Services-Prepackaged Software
GWRE,Guidewire Software Inc,NYSE,Business Software Services,SIC-7372 Services-Prepackaged Software
GWW,W.W. Grainger,NYSE,Industrial Services,SIC-5000 Wholesale-Durable Goods
GXO,Gxo Logistics Inc,NYSE,Transportation - Air Freight,SIC-4700 Transportation Services
H,Hyatt Hotels Corp,NYSE,Hotels & Motels,SIC-4931 Electric & Other Services Combined
HAL,Halliburton Company,NYSE,Oil - Field Services,"SIC-1389 Oil & Gas Field Services, NEC"
HAS,Hasbro Inc,NASDAQ,Toys & Game & Hobby,"SIC-3944 Games, Toys & Childrens Vehicles (No Dolls)"
HAYW,Hayward Holdings Inc,NYSE,Electronics Products - Misc,SIC-3580 Refrigeration & Service Industry Machinery
HBAN,Huntington Bancshares Inc,NASDAQ,Banks - Midwest,SIC-6021 National Commercial Banks
HCA,Hca Holdings Inc,NYSE,Medical - Hospitals,SIC-8062 Services-General Medical & Surgical Hospital
HCP,Hashicorp Inc Cl A,NASDAQ,Internet - Software,SIC-7371 Services-Computer Programming Services
HD,Home Depot,NYSE,Building Prds Retail - Wsale,SIC-5211 Retail-Lumber & Other Building Materials Dea
HEI,Heico Corp,NYSE,Aerospace - Defense Equipment,SIC-3724 Aircraft Engines & Engine Parts
HEI-A,Heico Corp Cl A,NYSE,Aerospace - Defense Equipment,SIC-3724 Aircraft Engines & Engine Parts
HES,Hess Corp,NYSE,Oil - US Integrated,SIC-2911 Petroleum Refining
HHH,Howard Hughes Holdings Inc,NYSE,Real Estate Developers,SIC-6798 Real Estate Investment Trusts
HIG,Hartford Financial Services Group,NYSE,Insurance - Multi Line,"SIC-6331 Fire, Marine & Casualty Insurance"
HII,Huntington Ingalls Industries,NYSE,Aerospace - Defense,SIC-3730 Ship & Boat Building & Repairing
HIW,Highwoods Properties,NYSE,REIT - Equity Trust Other,SIC-6798 Real Estate Investment Trusts
HLI,Houlihan Lokey,NYSE,Finance - Misc Services,SIC-6282 Investment Advice
HLT,Hilton Inc,NYSE,Hotels & Motels,SIC-7011 Hotels & Motels
HOG,Harley-Davidson Inc,NYSE,Auto - Domestic,"SIC-3751 Motorcycles, Bicycles & Parts"
HOLX,Hologic Inc,NASDAQ,Medical Instruments,SIC-3844 X-Ray Apparatus & Tubes & Related Irradiatio
HON,Honeywell International Inc,NASDAQ,Conglomerates - Div Operations,SIC-3724 Aircraft Engines & Engine Parts
HOOD,Robinhood Markets Inc Cl A,NASDAQ,Finance - Investment Brokers,"SIC-6211 Security Brokers, Dealers & Flotation Compan"
HPE,Hewlett Packard Enterprise Comp,NYSE,Computer - Integrated Systems,SIC-3570 Computer & Office Equipment
HPQ,HP Inc,NYSE,Computer - Micro,SIC-3570 Computer & Office Equipment
HR,Healthcare Realty Trust Inc.,NYSE,REIT - Equity Trust Other,SIC-6798 Real Estate Investment Trusts
HRB,H&R Block,NYSE,Consumer Services - Misc,SIC-7200 Services-Personal Services
HRL,Hormel Foods Corp,NYSE,Food - Meat Products,SIC-2011 Meat Packing Plants
HSIC,Henry Schein Inc,NASDAQ,Medical - Dental Suppliers,"SIC-5047 Wholesale-Medical, Dental & Hospital Equipme"
HST,Host Marriott Financial Trust,NASDAQ,REIT - Equity Trust Other,SIC-6798 Real Estate Investment Trusts
HSY,Hershey Foods Corp,NYSE,Food - Confectionery,SIC-2060 Sugar & Confectionery Products
HUBB,Hubbell Inc B,NYSE,Machinery - Elect Utilities,SIC-3670 Electronic Components & Accessories
HUBS,Hubspot Inc,NYSE,Internet - Software,SIC-7372 Services-Prepackaged Software
HUM,Humana Inc,NYSE,Medical - HMO,SIC-6324 Hospital & Medical Service Plans
HUN,Huntsman Corp,NYSE,Chemical - Diversified,SIC-2800 Chemicals & Allied Products
HWM,Howmet Aerospace Inc,NYSE,Engineering & R&D Services,SIC-3350 Rolling Drawing & Extruding of Nonferrous Me
HXL,Hexcel Corp,NYSE,Aerospace - Defense Equipment,"SIC-2821 Plastic Materials, Synth Resins & Nonvulcan"
IAC,Iac Inc,NASDAQ,Conglomerates - Div Operations,"SIC-7370 Services-Computer Programming, Data Processi"
IBKR,Interactive Brokers,NASDAQ,Finance - Investment Brokers,"SIC-6211 Security Brokers, Dealers & Flotation Compan"
IBM,International Business Machines,NYSE,Computer - Integrated Systems,SIC-3570 Computer & Office Equipment
ICE,Intercontinental Exchange,NYSE,Securities Exchanges,"SIC-6200 Security & Commodity Brokers, Dealers, Excha"
IDA,Idacorp Inc,NYSE,Utility - Electric Power,SIC-4911 Electric Services
IDXX,Idexx Laboratories,NASDAQ,Medical Instruments,SIC-2835 In Vitro & In Vivo Diagnostic Substances
IEX,Idex Corp,NYSE,Machinery - General Industrial,SIC-3561 Pumps & Pumping Equipment
IFF,International Flavors & Fragrances,NYSE,Consumer Prdts - Misc Staple,SIC-2860 Industrial Organic Chemicals
ILMN,Illumina Inc,NASDAQ,Medical - Biomedical,SIC-3826 Laboratory Analytical Instruments
INCY,Incyte Corp,NASDAQ,Medical - Biomedical,SIC-8731 Services-Commercial Physical & Biological Re
INFA,Informatica Inc Cl A,NYSE,Internet - Software,SIC-7372 Services-Prepackaged Software
INGR,Ingredion Inc,NYSE,Food - Misc & Diversified,SIC-2040 Grain Mill Products
INSP,Inspire Medical Systems Inc,NYSE,Medical Information Systems,SIC-3841 Surgical & Medical Instruments & Apparatus
INTC,Intel Corp,NASDAQ,Semi General,SIC-3674 Semiconductors & Related Devices
INTU,Intuit Inc,NASDAQ,Computer - Software,SIC-7372 Services-Prepackaged Software
INVH,Invitation Homes Inc,NYSE,REIT - Equity Trust Resident,SIC-6510 Real Estate Operators (No Developers) & Less
IONS,Ionis Pharmaceuticals,NASDAQ,Medical - Drugs,SIC-2834 Pharmaceutical Preparations
IP,International Paper Company,NYSE,Paper & Related Products,SIC-2621 Paper Mills
IPG,Interpublic Group of Companies,NYSE,Advertising Marketing Services,SIC-7311 Services-Advertising Agencies
IPGP,Ipg Photonics Corp,NASDAQ,Lasers - Systems & Components,SIC-3674 Semiconductors & Related Devices
IQV,Iqvia Holdings Inc,NYSE,Medical Instruments,SIC-8731 Services-Commercial Physical & Biological Re
IR,Ingersoll Rand Inc,NYSE,Machinery - General Industrial,SIC-3560 General Industrial Machinery & Equipment
IRDM,Iridium Comm Inc,NASDAQ,Satellite Communication,"SIC-3669 Communications Equipment, NEC"
IRM,Iron Mountain Inc,NYSE,REIT - Equity Trust Other,SIC-6798 Real Estate Investment Trusts
ISRG,Intuitive Surg Inc,NASDAQ,Medical Instruments,"SIC-3842 Orthopedic, Prosthetic & Surgical Appliances"
IT,Gartner Inc,NYSE,Consulting,SIC-8741 Services-Management Services
ITCI,Intra-Cellular Ther,NASDAQ,Medical - Biomedical,SIC-2834 Pharmaceutical Preparations
ITT,ITT Inc,NYSE,Conglomerates - Div Operations,SIC-3561 Pumps & Pumping Equipment
ITW,Illinois Tool Works Inc,NYSE,Machinery - General Industrial,SIC-3560 General Industrial Machinery & Equipment
IVZ,Invesco Plc,NYSE,Finance - Investment Mgmt,SIC-6282 Investment Advice
J,Jacobs Engineering Group Inc,NYSE,Technology Services,SIC-1600 Heavy Construction Other Than Bldg Const - C
JAZZ,Jazz Pharma Plc,NASDAQ,Medical - Drugs,SIC-2834 Pharmaceutical Preparations
JBHT,J B Hunt Transport,NASDAQ,Transportation - Truck,SIC-4213 Trucking (No Local)
JBL,Jabil Circuit,NYSE,Electronic Manufacturing,SIC-3672 Printed Circuit Boards
JCI,Johnson Controls Intl,NYSE,Protection - Safety,SIC-3585 Air-Cond & Warm Air Heatg Equip & Comm & Ind
JEF,Jefferies Financial Group Inc,NYSE,Finance - Misc Services,"SIC-6211 Security Brokers, Dealers & Flotation Compan"
JHG,Janus Henderson Group Plc,NYSE,Finance - Investment Mgmt,SIC-6282 Investment Advice
JKHY,Jack Henry & Assoc,NASDAQ,Electronic Misc Services,SIC-7373 Services-Computer Integrated Systems Design
JLL,Jones Lang Lasalle Inc,NYSE,Real Estate Operations,SIC-6531 Real Estate Agents & Managers (For Others)
JNJ,Johnson & Johnson,NYSE,Large Cap Pharma,SIC-2834 Pharmaceutical Preparations
JNPR,Juniper Networks,NYSE,Wireless Equipment,SIC-3576 Computer Communications Equipment
JPM,JP Morgan Chase & Company,NYSE,Banks - Major Regional,SIC-6021 National Commercial Banks
JWN,Nordstrom,NYSE,Retail - Apparel & Shoes,SIC-5651 Retail-Family Clothing Stores
K,Kellanova,NYSE,Consumer Prdts - Misc Discr,SIC-2040 Grain Mill Products
KBR,KBR Inc,NYSE,Engineering & R&D Services,SIC-1600 Heavy Construction Other Than Bldg Const - C
KD,Kyndryl Hldgs Inc,NYSE,Technology Services,SIC-7373 Services-Computer Integrated Systems Design
KDP,Keurig Dr Pepper Inc,NASDAQ,Beverages - Soft,SIC-2080 Beverages
